2021-1-1,74
2021-2-1,45
2021-3-1,53
2021-4-1,54
2021-5-1,66
2021-6-1,99
2021-7-1,63
2021-8-1,102
2021-9-1,89
2021-10-1,51
2021-11-1,48
2021-12-1,74
2021-13-1-,80
2021-14-1,98
2021-15-1,92
2021-16-1,78
2021-17-1,76
2021-18-1,54
2021-19-1,104
2021-20-1,110
2021-21-1,101
2021-22-1,71
2021-23-1,91
2021-24-1,89
2021-25-1,89
2021-26-1,134
2021-27-1,87
2021-28-1,82
2021-29-1,86
2021-30-1,64
2021-31-1,80
2021-1-2,66
2021-2-2,62
2021-3-2,60
2021-4-2,29
2021-5-2,68
2021-6-2,58
2021-7-2,71
2021-8-2,71
2021-9-2,62
2021-10-2,74
2021-11-2,40
2021-12-2,56
2021-13-2,57
2021-14-2,66
2021-15-2,51
2021-16-2,52
2021-17-2,55
2021-18-2,44
2021-19-2,50
2021-20-2,88
2021-21-2,52
2021-22-2,45
2021-23-2,60
2021-24-2,57
2021-25-2,75
2021-26-2,39
2021-27-2,60
2021-28-2,36
2021-1-3,56
2021-2-3,44
2021-3-3,50
2021-4-3,43
2021-5-3,63
2021-6-3,58
2021-7-3,65
2021-8-3,65
2021-9-3,32
2021-10-3,63
2021-11-3,37
2021-12-3,33
2021-13-3,43
2021-14-3,20
2021-15-3,57
2021-16-3,55
2021-17-3,45
2021-18-3,39
2021-19-3,40
2021-20-3,52
2021-21-3,54
2021-22-3,45
2021-23-3,27
2021-24-3,51
2021-25-3,118
2021-26-3,89
2021-27-3,84
2021-28-3,101
2021-29-3,91
2021-30-3,91
2021-31-3,102
2021-1-4,133
2021-2-4,75
2021-3-4,39
2021-4-4,41
2021-5-4,54
2021-6-4,49
2021-7-4,70
2021-8-4,90
2021-9-4,79
2021-10-4,94
2021-11-4,52
2021-12-4,63
2021-13-4,60
2021-14-4,78
2021-15-4,63
2021-16-4,77
2021-17-4,126
2021-18-4,101
2021-19-4,111
2021-20-4,93
2021-21-4,112
2021-22-4,119
2021-23-4,101
2021-24-4,125
2021-25-4,144
2021-26-4,99
2021-27-4,93
2021-28-4,137
2021-29-4,117
2021-30-4,126
2021-1-5,147
2021-2-5,130
2021-3-5,113
2021-4-5,111
2021-5-5,129
2021-6-5,130
2021-7-5,142
2021-8-5,150
2021-9-5,140
2021-10-5,131
2021-11-5,100
2021-12-5,126
2021-13-5,99
2021-14-5,67
2021-15-5,74
2021-16-5,77
2021-17-5,106
2021-18-5,68
2021-19-5,75
2021-20-5,95
2021-21-5,120
2021-22-5,204
2021-23-5,194
2021-24-5,130
2021-25-5,129
2021-26-5,159
2021-27-5,157
2021-28-5,152
2021-29-5,165
2021-30-5,122
2021-31-5,142
2021-1-6,150
2021-2-6,129
2021-3-6,161
2021-4-6,156
2021-5-6,158
2021-6-6,127
2021-7-6,126
2021-8-6,122
2021-9-6,152
2021-10-6,154
2021-11-6,128
2021-12-6,184
2021-13-6,144
2021-14-6,88
2021-15-6,152
2021-16-6,138
2021-17-6,121
2021-18-6,135
2021-19-6,119
2021-20-6,143
2021-21-6,111
2021-22-6,151
2021-23-6,115
2021-24-6,144
2021-25-6,202
2021-26-6,173
2021-27-6,162
2021-28-6,199
2021-29-6,164
2021-30-6,223
